20020103,22
20020108,14
20020110,45
20020115,42
20020117,39
20020122,37
20020124,17
20020129,47
20020131,26
20020205,35
20020208,33
20020215,40
20020219,16
20020221,1
20020226,13
20020228,12
20020305,1
20020307,14
20020312,11
20020314,28
20020319,9
20020321,20
20020326,43
20020328,13
20020402,27
20020404,31
20020409,5
20020411,4
20020416,3
20020418,39
20020423,35
20020425,23
20020430,22
20020502,47
20020507,9
20020509,39
20020514,15
20020516,40
20020521,27
20020523,28
20020528,24
20020530,21
20020604,28
20020606,11
20020611,34
20020613,2
20020618,17
20020620,32
20020625,8
20020627,24
20020629,34
20020702,28
20020704,8
20020706,34
20020709,13
20020711,7
20020713,41
20020716,28
20020718,20
20020720,37
20020723,5
20020725,44
20020727,30
20020730,36
20020801,18
20020803,37
20020806,1
20020808,2
20020810,45
20020813,12
20020815,37
20020817,33
20020820,8
20020822,21
20020824,4
20020827,41
20020829,15
20020831,35
20020903,30
20020905,10
20020910,36
20020912,2
20020917,40
20020920,5
20020924,19
20020926,29
20020930,25
20021003,22
20021008,2
20021010,17
20021015,13
20021017,38
20021022,19
20021024,1
20021029,41
20021031,45
20021104,34
20021107,1
20021112,28
20021114,42
20021119,18
20021121,21
20021126,33
20021128,38
20021203,46
20021205,1
20021210,17
20021212,8
20021217,9
20021220,15
20021223,42
20021227,4
20021231,24
20030102,46
20030107,15
20030109,24
20030114,20
20030116,29
20030121,6
20030123,49
20030128,48
20030130,23
20030204,46
20030206,16
20030211,29
20030213,18
20030218,24
20030220,35
20030225,15
20030227,36
20030304,43
20030306,30
20030311,17
20030313,32
20030318,33
20030320,36
20030325,20
20030327,35
20030401,18
20030403,7
20030408,42
20030410,28
20030415,33
20030417,43
20030422,43
20030424,27
20030429,3
20030502,36
20030506,48
20030509,35
20030513,18
20030515,12
20030520,42
20030522,26
20030527,6
20030529,29
20030603,11
20030605,37
20030610,29
20030612,26
20030617,49
20030619,12
20030624,47
20030626,11
20030630,2
20030703,38
20030705,49
20030708,30
20030710,47
20030712,39
20030715,21
20030717,7
20030719,38
20030722,22
20030724,39
20030726,23
20030729,32
20030802,4
20030807,1
20030809,44
20030812,29
20030814,10
20030816,38
20030819,24
20030821,6
20030823,34
20030826,9
20030828,47
20030830,12
20030904,11
20030909,3
20030912,38
20030916,24
20031007,34
20031009,3
20031014,24
20031016,40
20031018,12
20031021,38
20031023,8
20031028,1
20031030,15
20031101,36
20031103,24
20031106,42
20031111,29
20031114,43
20031118,43
20031120,5
20031125,45
20031127,22
20031129,5
20031202,19
20031204,49
20031209,14
20031211,34
20031213,11
20031216,46
20031218,27
20031223,44
20031230,27
20040103,1
20040106,36
20040108,23
20040113,6
20040115,43
20040117,1
20040120,19
20040127,4
20040129,11
20040131,8
20040203,13
20040205,38
20040210,11
20040212,4
20040214,7
20040217,37
20040219,19
20040221,1
20040224,6
20040226,3
20040302,18
20040304,15
20040306,42
20040309,48
20040311,37
20040316,17
20040318,8
20040320,32
20040323,3
20040325,35
20040330,30
20040402,10
20040406,45
20040410,34
20040413,42
20040415,48
20040420,17
20040422,33
20040424,23
20040427,21
20040429,37
20040504,35
20040506,2
20040511,36
20040513,12
20040515,22
20040518,3
20040520,29
20040525,39
20040527,12
20040529,9
20040601,31
20040603,48
20040605,45
20040608,12
20040611,32
20040615,47
20040617,7
20040619,36
20040624,45
20040626,9
20040629,45
20040703,43
20040706,26
20040708,38
20040710,34
20040713,15
20040715,24
20040717,10
20040720,25
20040722,22
20040724,15
20040727,37
20040729,38
20040731,12
20040803,9
20040805,49
20040807,14
20040810,49
20040812,42
20040814,39
20040817,47
20040819,29
20040821,40
20040824,47
20040826,41
20040828,49
20040831,10
20040902,28
20040904,40
20040907,14
20040910,33
20040914,14
20040916,16
20040918,19
20040921,12
20040924,29
20040926,10
20040928,32
20040930,22
20041002,31
20041005,23
20041007,11
20041010,6
20041012,41
20041014,36
20041016,38
20041019,6
20041021,17
20041024,42
20041026,11
20041028,21
20041031,10
20041104,14
20041107,5
20041109,6
20041111,37
20041113,48
20041116,10
20041118,31
20041120,3
20041123,24
20041125,42
20041127,10
20041130,23
20041202,26
20041205,25
20041207,20
20041209,40
20041211,19
20041214,12
20041217,40
20041219,10
20041221,21
20041223,13
20041225,31
20041228,6
20041230,14
20050102,34
20050104,35
20050106,15
20050109,27
20050111,44
20050113,17
20050115,23
20050118,11
20050120,6
20050122,24
20050125,4
20050127,40
20050129,35
20050201,29
20050204,10
20050207,23
20050210,24
20050212,26
20050215,2
20050217,33
20050219,17
20050222,24
20050224,13
20050226,18
20050301,30
20050303,22
20050306,26
20050308,1
20050310,37
20050312,19
20050315,23
20050318,46
20050320,33
20050324,5
20050327,3
20050329,12
20050331,48
20050402,45
20050405,13
20050407,14
20050410,6
20050412,49
20050414,10
20050417,5
20050419,13
20050421,31
20050423,34
20050426,8
20050428,5
20050430,2
20050503,1
20050505,6
20050508,41
20050510,15
20050512,47
20050515,32
20050517,8
20050519,38
20050522,19
20050524,10
20050526,10
20050528,2
20050531,13
20050602,26
20050604,33
20050607,27
20050609,24
20050611,44
20050614,11
20050616,4
20050619,27
20050621,3
20050623,10
20050625,21
20050628,42
20050630,17
20050702,42
20050705,45
20050707,17
20050709,5
20050712,2
20050714,29
20050716,44
20050719,4
20050721,3
20050723,17
20050726,8
20050729,5
20050731,25
20050802,13
20050804,3
20050806,40
20050809,4
20050811,6
20050813,41
20050816,18
20050818,21
20050820,18
20050823,42
20050825,35
20050827,14
20050830,18
20050901,10
20050903,42
20050906,44
20050908,47
20050910,25
20050913,34
20050916,48
20050918,9
20050920,7
20050922,39
20050925,17
20050927,18
20050930,33
20051004,14
20051006,18
20051008,27
20051011,5
20051013,45
20051015,20
20051018,35
20051020,29
20051023,1
20051027,7
20051029,38
20051031,28
20051103,27
20051106,19
20051108,33
20051110,40
20051112,27
20051115,43
20051117,5
20051119,23
20051122,3
20051124,22
20051126,18
20051129,27
20051201,6
20051204,4
20051206,11
20051208,20
20051210,20
